sku,marketplace_product_name_ar,seller_item_name,price,similarity_score,confidence_level,matched_sku
1322,استوهالت 40 مجم 14 كبسول,اوتريفين سالاين @,56.5,1.0,1.0,164
252,اماريل 3 مجم 30 قرص,اماريل 3 مجم سعر 54,61.5,0.79,1.0,213
252,اماريل 3 مجم 30 قرص,اماريل 3 مم ق جديد 54,61.5,0.74,1.0,213
252,اماريل 3 مجم 30 قرص,اماريل 3مج 30ق س ج/سانوفي افنتس,61.5,0.61,0.5,1234
252,اماريل 3 مجم 30 قرص,اماريل 3 م 61.5 جـ,61.5,0.62,0.5,1022
252,اماريل 3 مجم 30 قرص,اماريل 3مجم سعر 54,61.5,0.79,1.0,213
252,اماريل 3 مجم 30 قرص,اماريل 3مل 3شريط$$$$$$/ قددديم,61.5,0.54,0.5,1279
252,اماريل 3 مجم 30 قرص,اماريل 3مل-- 3شريط قديم,61.5,0.57,0.5,1279
252,اماريل 3 مجم 30 قرص,اماريل3 اقراص,61.5,0.69,1.0,4
252,اماريل 3 مجم 30 قرص,اماريل3مجم   3شرائط  61.5  ج,61.5,0.62,0.5,1484
252,اماريل 3 مجم 30 قرص,اماريل3مجم3شريط سعر قديم,61.5,0.5,0.5,1789
252,اماريل 3 مجم 30 قرص,اماريل3ملى جديد,61.5,0.47,0.5,137
252,اماريل 3 مجم 30 قرص,اماريل3ملى/افنتس,61.5,0.5,0.5,3021
252,اماريل 3 مجم 30 قرص,اماريل3مم3شريط,61.5,0.44,0.5,720
252,اماريل 3 مجم 30 قرص,اماريل3مم3شريط,61.5,0.44,0.5,720
252,اماريل 3 مجم 30 قرص,اماريل3مم3شريط,61.5,0.44,0.5,720
257,دانست 8 مجم / 4 مل 3 امبول,دانيست 8مج3 امبوله,142.5,0.81,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,DANSET A.IV 8 MG /4ML 3 4 ML,142.5,0.77,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانست8مجم 3امبول ركززززززز,142.5,0.69,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانست8 3امبول س ج ج ج,142.5,0.7,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانست 8مم 3امبول  ,142.5,0.87,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانست 8مم 3امبول  ,142.5,0.87,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانست 8مم 3امبول ,142.5,0.87,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانست 8مم 3امبول,142.5,0.87,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانست 8جم 3 امبول قدييم,142.5,0.76,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانست 8جم3 امبول حقن س.ج,142.5,0.79,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانست 8جم3 امبول حقن س.ج,142.5,0.79,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانست 8م 3امبول,142.5,0.9,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانست 8م 3امبول,142.5,0.9,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانست 8م 3امبول,142.5,0.9,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانسيت8ملى 3امبول,142.5,0.76,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانسيت8مجم3امبوله ,142.5,0.74,1.0,1675
257,دانست 8 مجم / 4 مل 3 امبول,دانسيت8مجم3امبول س ج/ادويا,142.5,0.74,1.0,1675
257,دانست 8 مجم / 4 مل 3 امبول,دانسيت8مجم3امبول,142.5,0.74,1.0,1675
257,دانست 8 مجم / 4 مل 3 امبول,دانسيت8مجم3امبول,142.5,0.74,1.0,1675
257,دانست 8 مجم / 4 مل 3 امبول,دانسيت8مجم امبول,142.5,0.75,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانسيت8مجم 3امبوله /ادويا,142.5,0.81,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانسيت8مجم 3امبوله /ادويا,142.5,0.81,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانسيت8مجم 3امبوله,142.5,0.81,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانسيت8مجم 3امبولة=113.5ج,142.5,0.81,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانسيت8مجم 3امبولة /ادويا,142.5,0.81,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانسيت8مجم 3امبولة,142.5,0.81,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانسيت8مجم 3امبولة,142.5,0.81,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانسيت8مجم 3امبول جديد,142.5,0.81,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانسيت8مجم 3امبول 142.5جنيه,142.5,0.81,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانسيت8م3  امبولة,142.5,0.63,0.5,209
257,دانست 8 مجم / 4 مل 3 امبول,دانسيت8جديد3امبول,142.5,0.59,0.5,209
257,دانست 8 مجم / 4 مل 3 امبول,دانست8مم 3امبول جيييييييييييييد,142.5,0.57,0.5,209
257,دانست 8 مجم / 4 مل 3 امبول,دانست8ملى 3امبول س/ج,142.5,0.8,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانست8ملى 3امبول س/ج,142.5,0.8,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانست8مجم3امبول س.ج,142.5,0.68,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانست8مجم3امبول,142.5,0.74,1.0,1675
257,دانست 8 مجم / 4 مل 3 امبول,دانست8مجم3 امبول(س ج احذر,142.5,0.7,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانست8مجم/3امبول ,142.5,0.74,1.0,1675
257,دانست 8 مجم / 4 مل 3 امبول,دانست8مجم-3 امبول,142.5,0.74,1.0,1675
257,دانست 8 مجم / 4 مل 3 امبول,دانست 8محم 3 امبول,142.5,0.84,1.0,209
257,دانست 8 مجم / 4 مل 3 امبول,دانسيت8جديد3امبول,142.5,0.59,0.5,209
854,تريتاس 5 مجم 14 قرص,سايميثيكون نقط االعامريه@ ب24ج,57.0,0.47,0.5,762
854,تريتاس 5 مجم 14 قرص,تريتاس 5 ملى 2 شريط,57.0,0.6,0.5,1754
854,تريتاس 5 مجم 14 قرص,تريتاس 5جم  2ش/افنتس,57.0,0.58,0.5,778
854,تريتاس 5 مجم 14 قرص,تريتاس 5م,57.0,0.8,1.0,2250
854,تريتاس 5 مجم 14 قرص,تريتاس 5م  اقراص,57.0,0.89,1.0,2250
854,تريتاس 5 مجم 14 قرص,تريتاس 5مجلى س57جنيه,57.0,0.6,0.5,2250
854,تريتاس 5 مجم 14 قرص,تريتاس5م 2شريط,57.0,0.5,0.5,778
854,تريتاس 5 مجم 14 قرص,تريتاس5م 2شريط,57.0,0.5,0.5,778
854,تريتاس 5 مجم 14 قرص,تريتاس5مجم **2شريط   ج,57.0,0.63,0.5,778
854,تريتاس 5 مجم 14 قرص,تريتاس5مجم 2شريط,57.0,0.62,0.5,778
854,تريتاس 5 مجم 14 قرص,تريتاس5مجم شريطين   57 ج,57.0,0.61,0.5,1789
1317,تورسيريتك 10 مجم 30 قرص,توريسيريتك10مجم اقراص,93.0,0.85,1.0,3562
1317,تورسيريتك 10 مجم 30 قرص,توريسيتوريتك10مجم اقراص,93.0,0.78,1.0,3562
1317,تورسيريتك 10 مجم 30 قرص,توريستوريتك10مجم 3 شريط ,93.0,0.65,1.0,3562
1317,تورسيريتك 10 مجم 30 قرص,توريستريتك10مجم اقراص,93.0,0.81,1.0,3562
1317,تورسيريتك 10 مجم 30 قرص,توريستريتك10مجم اقراص,93.0,0.81,1.0,3562
1317,تورسيريتك 10 مجم 30 قرص,تورسيريتك10مجم30قرص,93.0,0.82,1.0,3562
1317,تورسيريتك 10 مجم 30 قرص,تورسيريتك10مجم30  جديد,93.0,0.65,1.0,3562
1317,تورسيريتك 10 مجم 30 قرص,تورسيريتك10مجم/30قرص ,93.0,0.82,1.0,3562
1317,تورسيريتك 10 مجم 30 قرص,تورسيريتك10مجم**3شريط السعر الجديد,93.0,0.61,0.5,3562
1317,تورسيريتك 10 مجم 30 قرص,تورسيريتك10مجم اقراص,93.0,0.85,1.0,3562
1317,تورسيريتك 10 مجم 30 قرص,تورسيريتك10مجم اقراص,93.0,0.85,1.0,3562
1317,تورسيريتك 10 مجم 30 قرص,تورسيريتك10مجم اقراص,93.0,0.85,1.0,3562
1317,تورسيريتك 10 مجم 30 قرص,تورسيريتك10مجم اقراص,93.0,0.85,1.0,3562
1317,تورسيريتك 10 مجم 30 قرص,تورسيريتك10مجم 3 شريط *,93.0,0.71,1.0,3562
1317,تورسيريتك 10 مجم 30 قرص,تورسيريتك10مجم,93.0,0.68,1.0,3562
1317,تورسيريتك 10 مجم 30 قرص,تورسيريتك10م3شريط/يوتوبيا,93.0,0.5,0.5,3562
1317,تورسيريتك 10 مجم 30 قرص,تورسيريتك10م3شريط س ج/يوتوبيا,93.0,0.5,0.5,3562
1317,تورسيريتك 10 مجم 30 قرص,تورسيريتك10جم  3شريط ,93.0,0.6,0.5,3562
1317,تورسيريتك 10 مجم 30 قرص,تورسيريتك10 اقراص,93.0,0.74,1.0,3562
1317,تورسيريتك 10 مجم 30 قرص,تورسيرتيك10مجم اقراص سعر جديد,93.0,0.78,1.0,3562
1317,تورسيريتك 10 مجم 30 قرص,تورسيرتيك10مجم 3شريط ,93.0,0.71,1.0,3562
1317,تورسيريتك 10 مجم 30 قرص,تورسيرتيك10مجم  اقراص جديد,93.0,0.85,1.0,3562
1317,تورسيريتك 10 مجم 30 قرص,تورسيرتيك10مج جديد,93.0,0.62,0.5,3562
1317,تورسيريتك 10 مجم 30 قرص,تورسيرتيك10  مجم 3شريط ,93.0,0.71,1.0,3562
1317,تورسيريتك 10 مجم 30 قرص,تورسيتوريتك10مجم اقراص,93.0,0.79,1.0,3562
1317,تورسيريتك 10 مجم 30 قرص,تورسوريتك10مم ق 3شريط,93.0,0.58,0.5,3562
1317,تورسيريتك 10 مجم 30 قرص,تورسوريتك10مم ق 3شريط,93.0,0.58,0.5,3562
1317,تورسيريتك 10 مجم 30 قرص,تورستيريتك10مجم3شريط,93.0,0.64,0.5,3562
1317,تورسيريتك 10 مجم 30 قرص,تورستيريتك10مجم 30/قرص,93.0,0.92,1.0,3562
1317,تورسيريتك 10 مجم 30 قرص,تورستوريتك10مل س ج,93.0,0.6,0.5,3562
1317,تورسيريتك 10 مجم 30 قرص,تورستوريتك10مجم س/ج 93 ج,93.0,0.73,1.0,3562
1317,تورسيريتك 10 مجم 30 قرص,تورستوريتك10مجم س/ج,93.0,0.73,1.0,3562
